ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wp_page_template,Meta: shopengine_product_views_count,Meta: ekit_post_views_count,Meta: _last_editor_used_jetpack,Meta: video_product,Meta: view_product,Meta: bwp_ids,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_primary_product_brand
30771,simple,c7b4ba2a61dd,Rado - Ladies Watch - 28mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,195,310,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_84021e2aa1194a028383ee7c10fda0camv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_4631d10682c64d9b970dbb509346d464mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_e5c79564468641908f48eab84228d2a7mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30775,simple,fd475f2df8a2,Rado - Ladies Watch - 27mm x 20mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,315,770,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_b8da0f20f06942fc9462325a09479b45mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30777,simple,f92104f5a5cc,Rado - Ladies Watch - 27mm x 20mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,340,850,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_8582714012824fa2aa5c098ebb39088bmv2.jpg,,,,,,,,,0,default,,,,,,,,,
30779,simple,cb40c46cd5b5,Rado - Ladies Watch - 27mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,185,770,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_7961f16e740a4c1abee6658de394869cmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_b3a2847f900e44cd9b859a97d5b49103mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30782,simple,5d65688c7482,Versace - Men Watch - 42mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,350,720,"Men, Watches",Men,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_a7b37ae577dd4af8aab8168a85b0630dmv2.jpg,,,,,,,,,0,default,,,,,,,,,
30784,simple,6249bc8718a6,Dior - Ladies Watch - 36mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,3720,11000,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_dff28faffd354365971496c69868bb1dmv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_f06a33020ca74c5fb5d9085c41435b3fmv2.jpg",,,,,,,,,0,default,,,,,,,,,
30787,simple,c5c48f2c9167,Dior - Ladies Watch - 36mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,3115,11425,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_c44103396efe435b8e13adac0701b9b1mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30789,simple,213318920eaa,Dior - Ladies Watch - 36mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,2349,8335,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_dd331ed290404859873a987bf1537fadmv2.jpg,,,,,,,,,0,default,,,,,,,,,
30791,simple,5165d4817167,Dior - Ladies Watch - 36mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,2020,7720,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_652035a9a2184436bc9f9623c61aa5e3mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30793,simple,e17fac2a8d95,Dior - Ladies Watch - 25mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,645,1700,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_717ee1630ce9475ba4c7c22a9c976c07mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_b46dae04ce564727be3e392f079b4374mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30796,simple,d94bcabf78cc,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,675,1585,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_eb618d7ce3f042b9b4ea35703084fb2bmv2.jpg,,,,,,,,,0,default,,,,,,,,,
30798,simple,1c80d3ac829a,Dior - Ladies Watch - 19mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,675,1585,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_4e185d9ad7304a3fb2a449664f22afd7mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30800,simple,7b42340915e0,Cerruti - Ladies Watch -,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,130,180,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_7ab29188f9c141ebb065c79141c58787mv2.jpg,,,,,,,,,0,default,,,,,,,,,
30802,simple,8de294e84e3b,Cerruti - Ladies Watch -,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,130,180,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_2bb55ee9510840a9aa14cb7e6f466016mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_bc1a42bbf5cc472aa595b6fe34b673e7mv2.jpg",,,,,,,,,0,default,,,,,,,,,
30805,simple,6d6470f2cb07,Cerruti - Ladies Watch -,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,130,180,"Ladies, Watches",Women,,https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_f19095ac104b4bf9bad67a4969b8715cmv2.jpg,,,,,,,,,0,default,,,,,,,,,
30807,simple,d82f67f3cb54,Swarovski - Ladies Watch - 35mm,1,0,visible,,,,,none,,5,5,,0,0,,,,,0,,110,160,"Ladies, Watches",Women,,"https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_6374e8dca2d542f197a4e9973e775644mv2.jpg, https://mnkwatches.store/wp-content/uploads/2022/03/a0a030_81d4888cdba046c0b34078c4527e949dmv2.jpg",,,,,,,,,0,default,,,,,,,,,
